,beds,baths,size,zip_code,price
0,3,2.5,2590.0,98144,38.61003861003861
1,4,2.0,2240.0,98106,44.642857142857146
2,4,3.0,2040.0,98107,49.01960784313726
3,4,3.0,3800.0,98199,26.31578947368421
4,2,2.0,1042.0,98102,95.96928982725528
5,2,2.0,1190.0,98107,84.03361344537815
6,1,1.0,670.0,98133,149.2537313432836
7,5,3.5,4510.0,98105,22.172949002217294
8,3,2.5,1520.0,98108,65.78947368421052
9,4,2.0,2340.0,98178,42.73504273504273
10,3,2.0,1320.0,98103,75.75757575757575
11,3,2.0,1800.0,98177,55.55555555555556
12,3,2.5,2490.0,98103,40.16064257028113
13,4,3.0,2650.0,98115,37.735849056603776
14,5,1.5,2560.0,98199,39.0625
15,2,1.5,900.0,98133,111.11111111111111
16,3,3.5,1360.0,98103,73.52941176470588
17,1,1.0,550.0,98122,181.8181818181818
18,3,2.5,2974.0,98119,33.62474781439139
19,4,3.5,1989.0,98117,50.27652086475616
20,2,2.0,1332.0,98199,75.07507507507508
21,4,3.0,2668.0,98116,37.481259370314845
22,2,1.0,770.0,98133,129.87012987012986
23,3,1.5,1280.0,98146,78.125
24,5,3.5,3200.0,98133,31.25
25,2,1.5,889.0,98103,112.4859392575928
26,1,1.0,508.0,98109,196.8503937007874
27,3,2.0,3140.0,98117,31.84713375796178
28,4,2.0,2000.0,98125,50.0
29,1,1.0,792.0,98101,126.26262626262626
30,3,2.5,1690.0,98108,59.171597633136095
31,4,5.5,3000.0,98126,33.333333333333336
32,3,3.0,1550.0,98115,64.51612903225806
33,2,2.0,871.0,98119,114.8105625717566
34,4,1.5,1940.0,98118,51.54639175257732
35,1,1.0,474.0,98101,210.9704641350211
36,3,2.0,1770.0,98146,56.49717514124294
37,5,5.0,2510.0,98133,39.8406374501992
38,1,1.0,750.0,98199,133.33333333333334
39,1,1.0,573.0,98102,174.52006980802793
40,3,2.5,1500.0,98103,66.66666666666667
41,5,4.0,2920.0,98133,34.24657534246575
42,3,2.0,2817.0,98103,35.49875754348598
43,1,1.0,617.0,98109,162.07455429497568
44,2,2.0,1280.0,98112,78.125
45,2,2.0,1523.0,98121,65.65988181221273
46,2,1.0,1240.0,98126,80.64516129032258
47,4,2.5,2280.0,98106,43.85964912280702
48,5,3.5,3590.0,98136,27.855153203342617
49,4,3.5,2478.0,98115,40.35512510088781
50,3,3.0,2360.0,98117,42.3728813559322
51,2,1.0,720.0,98177,138.88888888888889
52,3,2.0,2480.0,98126,40.32258064516129
53,3,2.0,1550.0,98199,64.51612903225806
54,2,1.0,780.0,98103,128.2051282051282
55,5,3.0,2820.0,98136,35.46099290780142
56,5,3.0,2900.0,98112,34.48275862068966
57,2,2.0,1092.0,98122,91.57509157509158
58,3,2.0,1731.0,98125,57.77007510109763
59,3,2.5,1500.0,98105,66.66666666666667
60,2,2.5,1344.0,98122,74.4047619047619
61,4,5.5,4040.0,98105,24.752475247524753
62,5,3.0,2320.0,98168,43.10344827586207
63,5,3.0,2820.0,98136,35.46099290780142
64,3,1.0,1070.0,98117,93.45794392523365
65,2,1.0,1113.0,98102,89.84725965858041
66,4,2.0,2100.0,98117,47.61904761904762
67,3,2.5,2620.0,98119,38.16793893129771
68,3,2.0,1270.0,98103,78.74015748031496
69,3,2.0,2702.0,98103,37.00962250185048
70,4,3.5,2031.0,98117,49.23682914820286
71,3,2.0,2350.0,98178,42.5531914893617
72,4,1.5,2640.0,98115,37.878787878787875
73,3,1.5,1340.0,98106,74.6268656716418
74,6,3.5,8660.0,98102,11.547344110854503
75,2,2.5,1365.0,98118,73.26007326007326
76,1,1.0,635.0,98104,157.48031496062993
77,3,1.0,1800.0,98168,55.55555555555556
78,2,1.0,870.0,98118,114.94252873563218
79,3,3.5,1510.0,98103,66.2251655629139
80,3,1.0,1120.0,98106,89.28571428571429
81,4,2.5,2580.0,98146,38.75968992248062
82,2,2.0,875.0,98115,114.28571428571429
83,3,4.0,2220.0,98109,45.04504504504504
84,1,1.0,607.0,98119,164.74464579901152
85,3,2.0,1496.0,98144,66.84491978609626
86,4,3.5,2670.0,98118,37.453183520599254
87,2,1.5,1810.0,98115,55.248618784530386
